08-17 04:41 INFO     Initialising repertoire with random population
08-17 04:47 INFO     Number of genomes 237
08-17 04:47 INFO     Mean quality -0.5652296371290085
08-17 04:47 INFO     
08-17 04:47 INFO     Number of better genomes found in this iteration 9
08-17 04:47 INFO     Total quality increase by better genomes in this iteration 0.5913820957452554
08-17 04:47 INFO     Normalised quality increase by better genomes in this iteration 0.06570912174947281
08-17 04:47 INFO     Number of new genomes added in this iteration 11

08-17 04:47 INFO     Iteration 15
08-17 04:48 INFO     Repertoire Metrics
08-17 04:48 INFO     Total Quality -137.3806864784503
08-17 04:48 INFO     Max Quality -0.03876079245915909
08-17 04:48 INFO     Max Quality Bin (16, 15)
08-17 04:48 INFO     Min Quality -1.2581121044081403
08-17 04:48 INFO     Min Quality Bin (11, 19)
08-17 04:48 INFO     Number of genomes 243
08-17 04:48 INFO     Mean quality -0.5653526192528818
08-17 04:48 INFO     
08-17 04:48 INFO     Number of better genomes found in this iteration 9
08-17 04:48 INFO     Total quality increase by better genomes in this iteration 0.9430926228141867
08-17 04:48 INFO     Normalised quality increase by better genomes in this iteration 0.1047880692015763
08-17 04:48 INFO     Number of new genomes added in this iteration 6

08-17 04:48 INFO     Iteration 16
08-17 04:48 INFO     Repertoire Metrics
08-17 04:48 INFO     Total Quality -141.74067814939124
08-17 04:48 INFO     Max Quality -0.03876079245915909
08-17 04:48 INFO     Max Quality Bin (16, 15)
08-17 04:48 INFO     Min Quality -1.1436544337713976
08-17 04:48 INFO     Min Quality Bin (0, 12)
08-17 04:48 INFO     Number of genomes 251
08-17 04:48 INFO     Mean quality -0.5647038970095268
08-17 04:48 INFO     
08-17 04:48 INFO     Number of better genomes found in this iteration 9
08-17 04:48 INFO     Total quality increase by better genomes in this iteration 1.5299495727566035
08-17 04:48 INFO     Normalised quality increase by better genomes in this iteration 0.16999439697295593
08-17 04:48 INFO     Number of new genomes added in this iteration 8

08-17 04:48 INFO     Iteration 17
08-17 04:49 INFO     Repertoire Metrics
08-17 04:49 INFO     Total Quality -144.7223901907074
08-17 04:49 INFO     Max Quality -0.03876079245915909
08-17 04:49 INFO     Max Quality Bin (16, 15)
08-17 04:49 INFO     Min Quality -1.1436544337713976
08-17 04:49 INFO     Min Quality Bin (0, 12)
08-17 04:49 INFO     Number of genomes 256
08-17 04:49 INFO     Mean quality -0.5653218366824507
08-17 04:49 INFO     
08-17 04:49 INFO     Number of better genomes found in this iteration 10
08-17 04:49 INFO     Total quality increase by better genomes in this iteration 0.483912642578996
08-17 04:49 INFO     Normalised quality increase by better genomes in this iteration 0.0483912642578996
08-17 04:49 INFO     Number of new genomes added in this iteration 5

08-17 04:49 INFO     Iteration 18
08-17 04:49 INFO     Repertoire Metrics
08-17 04:49 INFO     Total Quality -147.26736088630966
08-17 04:49 INFO     Max Quality -0.03876079245915909
08-17 04:49 INFO     Max Quality Bin (16, 15)
08-17 04:49 INFO     Min Quality -1.1436544337713976
08-17 04:49 INFO     Min Quality Bin (0, 12)
08-17 04:49 INFO     Number of genomes 261
08-17 04:49 INFO     Mean quality -0.5642427620165121
08-17 04:49 INFO     
08-17 04:49 INFO     Number of better genomes found in this iteration 8
08-17 04:49 INFO     Total quality increase by better genomes in this iteration 1.3718702238564953
08-17 04:49 INFO     Normalised quality increase by better genomes in this iteration 0.1714837779820619
08-17 04:49 INFO     Number of new genomes added in this iteration 5

08-17 04:49 INFO     Iteration 19
08-17 04:50 INFO     Repertoire Metrics
08-17 04:50 INFO     Total Quality -155.85102363080176
08-17 04:50 INFO     Max Quality -0.03876079245915909
08-17 04:50 INFO     Max Quality Bin (16, 15)
08-17 04:50 INFO     Min Quality -1.1436544337713976
08-17 04:50 INFO     Min Quality Bin (0, 12)
08-17 04:50 INFO     Number of genomes 274
08-17 04:50 INFO     Mean quality -0.5687993563167948
08-17 04:50 INFO     
08-17 04:50 INFO     Number of better genomes found in this iteration 6
08-17 04:50 INFO     Total quality increase by better genomes in this iteration 0.47290731714432876
08-17 04:50 INFO     Normalised quality increase by better genomes in this iteration 0.07881788619072146
08-17 04:50 INFO     Number of new genomes added in this iteration 13

08-17 04:50 INFO     Iteration 20
08-17 04:50 INFO     Repertoire Metrics
08-17 04:50 INFO     Total Quality -160.4273278900481
08-17 04:50 INFO     Max Quality -0.03876079245915909
08-17 04:50 INFO     Max Quality Bin (16, 15)
08-17 04:50 INFO     Min Quality -1.1436544337713976
08-17 04:50 INFO     Min Quality Bin (0, 12)
08-17 04:50 INFO     Number of genomes 281
08-17 04:50 INFO     Mean quality -0.5709157576158296
08-17 04:50 INFO     
08-17 04:50 INFO     Number of better genomes found in this iteration 6
08-17 04:50 INFO     Total quality increase by better genomes in this iteration 0.6712466207586945
08-17 04:50 INFO     Normalised quality increase by better genomes in this iteration 0.11187443679311575
08-17 04:50 INFO     Number of new genomes added in this iteration 7

08-17 04:50 INFO     Saving repertoire for iteration 20

08-17 04:50 INFO     Iteration 21
08-17 04:50 INFO     Repertoire Metrics
08-17 04:50 INFO     Total Quality -162.72256458861096
08-17 04:50 INFO     Max Quality -0.03876079245915909
08-17 04:50 INFO     Max Quality Bin (16, 15)
08-17 04:50 INFO     Min Quality -1.1436544337713976
08-17 04:50 INFO     Min Quality Bin (0, 12)
08-17 04:50 INFO     Number of genomes 285
08-17 04:50 INFO     Mean quality -0.5709563669775823
08-17 04:50 INFO     
08-17 04:50 INFO     Number of better genomes found in this iteration 10
08-17 04:50 INFO     Total quality increase by better genomes in this iteration 0.5165490569806905
08-17 04:50 INFO     Normalised quality increase by better genomes in this iteration 0.051654905698069055
08-17 04:50 INFO     Number of new genomes added in this iteration 4

08-17 04:50 INFO     Iteration 22
08-17 04:51 INFO     Repertoire Metrics
08-17 04:51 INFO     Total Quality -165.64687422616856
08-17 04:51 INFO     Max Quality -0.03876079245915909
08-17 04:51 INFO     Max Quality Bin (16, 15)
08-17 04:51 INFO     Min Quality -1.1436544337713976
08-17 04:51 INFO     Min Quality Bin (0, 12)
08-17 04:51 INFO     Number of genomes 291
08-17 04:51 INFO     Mean quality -0.5692332447634658
08-17 04:51 INFO     
08-17 04:51 INFO     Number of better genomes found in this iteration 9
08-17 04:51 INFO     Total quality increase by better genomes in this iteration 1.3384785070264544
08-17 04:51 INFO     Normalised quality increase by better genomes in this iteration 0.1487198341140505
08-17 04:51 INFO     Number of new genomes added in this iteration 6

08-17 04:51 INFO     Iteration 23
08-17 04:51 INFO     Repertoire Metrics
08-17 04:51 INFO     Total Quality -168.2789461891893
08-17 04:51 INFO     Max Quality -0.03876079245915909
08-17 04:51 INFO     Max Quality Bin (16, 15)
08-17 04:51 INFO     Min Quality -1.1436544337713976
08-17 04:51 INFO     Min Quality Bin (0, 12)
08-17 04:51 INFO     Number of genomes 296
08-17 04:51 INFO     Mean quality -0.5685099533418557
08-17 04:51 INFO     
08-17 04:51 INFO     Number of better genomes found in this iteration 11
08-17 04:51 INFO     Total quality increase by better genomes in this iteration 1.200440190602512
08-17 04:51 INFO     Normalised quality increase by better genomes in this iteration 0.10913092641841017
08-17 04:51 INFO     Number of new genomes added in this iteration 5

08-17 04:51 INFO     Iteration 24
08-17 04:52 INFO     Repertoire Metrics
08-17 04:52 INFO     Total Quality -172.79592171016498
08-17 04:52 INFO     Max Quality -0.03876079245915909
08-17 04:52 INFO     Max Quality Bin (16, 15)
08-17 04:52 INFO     Min Quality -1.1949889572859964
08-17 04:52 INFO     Min Quality Bin (19, 4)
08-17 04:52 INFO     Number of genomes 303
08-17 04:52 INFO     Mean quality -0.5702835700005445
08-17 04:52 INFO     
08-17 04:52 INFO     Number of better genomes found in this iteration 9
08-17 04:52 INFO     Total quality increase by better genomes in this iteration 1.1224335137319974
08-17 04:52 INFO     Normalised quality increase by better genomes in this iteration 0.12471483485911082
08-17 04:52 INFO     Number of new genomes added in this iteration 7

08-17 04:52 INFO     Iteration 25
08-17 04:52 INFO     Repertoire Metrics
08-17 04:52 INFO     Total Quality -178.59090970789455
08-17 04:52 INFO     Max Quality -0.03876079245915909
08-17 04:52 INFO     Max Quality Bin (16, 15)
08-17 04:52 INFO     Min Quality -1.1949889572859964
08-17 04:52 INFO     Min Quality Bin (19, 4)
08-17 04:52 INFO     Number of genomes 310
08-17 04:52 INFO     Mean quality -0.5760997087351437
08-17 04:52 INFO     
08-17 04:52 INFO     Number of better genomes found in this iteration 8
08-17 04:52 INFO     Total quality increase by better genomes in this iteration 0.5719089595167401
08-17 04:52 INFO     Normalised quality increase by better genomes in this iteration 0.07148861993959252
08-17 04:52 INFO     Number of new genomes added in this iteration 7

08-17 04:52 INFO     Iteration 26
08-17 04:53 INFO     Repertoire Metrics
08-17 04:53 INFO     Total Quality -183.33176599026126
08-17 04:53 INFO     Max Quality -0.03876079245915909
08-17 04:53 INFO     Max Quality Bin (16, 15)
08-17 04:53 INFO     Min Quality -1.1949889572859964
08-17 04:53 INFO     Min Quality Bin (19, 4)
08-17 04:53 INFO     Number of genomes 318
08-17 04:53 INFO     Mean quality -0.5765149873907587
08-17 04:53 INFO     
08-17 04:53 INFO     Number of better genomes found in this iteration 9
08-17 04:53 INFO     Total quality increase by better genomes in this iteration 1.100210236552148
08-17 04:53 INFO     Normalised quality increase by better genomes in this iteration 0.12224558183912755
08-17 04:53 INFO     Number of new genomes added in this iteration 8

08-17 04:53 INFO     Iteration 27
08-17 04:53 INFO     Repertoire Metrics
08-17 04:53 INFO     Total Quality -185.41542225828312
08-17 04:53 INFO     Max Quality -0.03876079245915909
